Trace-id,HTTP Status Code,Path,User Agent,path_frequency,is_anomaly_iso,is_anomaly_dbscan,is_anomaly_combined
0004b83b00b323153aaecc32fb089a71,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
000866a5f7823ef19976a23d461e83ad,200.0,/api/v1/references/HTTPS:%2F%2FOWDS.ORG%2FAF.pIPM-QrtWE6r9XMQASy31A/elements,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",3,-1,0,True
0008fbcfcbe7712383be500ade9b5458,0.0,/api/v1/documents/33c6ab11-ed75-46b1-aeb9-58f2d1a2966d,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:132.0) Gecko/20100101 Firefox/132.0,2,1,-1,True
000fece05ac4d161aed67ca676e8968c,404.0,/owa/,curl/7.54.0,2,-1,6,True
001709f1e2df9cb118a993b1d28cc275,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
001afae5cd70490c621e2fb79b9fb7d2,204.0,/api/v1/assets,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,16,-1,5,True
001fb973e4ddeac3f853f173e0130914,404.0,/api/v1/documents/dc7cb028-a077-4474-a4c6-004921481562,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",21,-1,7,True
00263e7eb6d14af68c9a66fd22e50d55,201.0,/api/v1/elements/38514084-9087-47a1-95c3-18251f92b0c4/documents,Unknown,1,-1,8,True
002b6d9f2655b354137aa7ecda420eda,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
0031e8178e93db1962950021aa5f0f8b,204.0,/api/v1/versions,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",40,-1,5,True
0039e777c70717c8c58748ff1258d326,404.0,/api/v2/projects/33df3f35-8ff1-4e03-b7e7-f32b89ad7f0b/project-image,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",4,-1,9,True
004d2455d527f41e2a92b5e269bd8f67,404.0,/api/v2/projects/f899745d-f1b4-4439-a6fc-428ce60325f5/project-image,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,11,-1,9,True
006340b016ab405b1ec5f7fbda2ad7c0,404.0,/api/v2/projects/ac5ad313-6392-4967-a59e-4f4ba7bb26da/project-image,"Mozilla/5.0 (Linux; Android 14; SM-X210 Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/129.0.6668.100 Safari/537.36",8,-1,9,True
0063c0ddaa8727dd47611d0fb7c24485,404.0,/api/v1/documents/199e812d-db57-4b79-9330-abbb4a129c48,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,5,-1,7,True
006cf4ad8a87c3543df19045aaff4c99,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
0080b3280a9b58ddfadfa384c950d7cd,201.0,/api/v2/elements,Unknown,6,-1,10,True
0081545663fb5df2a785ca46a8701950,404.0,/api/v2/projects/d2a6f982-fccc-446a-874c-160fceda2ffb/project-image,"Mozilla/5.0 (Linux; Android 14; Pixel 6a Build/AP2A.240905.003.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.108 Mobile Safari/537.36",2,-1,9,True
00977a7a29e79b61ecd3ca5728b6ae7d,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
009a9f668954fd252358db084412d3b3,404.0,/api/v2/projects/f13281c9-8c84-4e3c-8ac7-cea9b70a4437/project-image,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",1,-1,9,True
00a84d3bfb507222963da7f9f893fc67,200.0,/api/v1/references/HTTPS:%2F%2FOWDS.ORG%2FAF.a8641uzVUkCBr20-LtWTNQ/elements,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",1,-1,0,True
00ac44b9ce0d48ccaeaee3e93d5cfbc8,200.0,/api/v1/references/HTTPS:%2F%2FOWDS.ORG%2FAF.YpjpoBn5Zk6XB1ExiaC_Aw/elements,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2,-1,0,True
00af5571abc533338b30166e4cde95f4,201.0,/api/v1/elements/be807479-9e18-4ecd-97d3-fc980506b0c3/external-references,Unknown,1,-1,11,True
00b9ed7a221000cbaa1ac6e94d0bb1c0,201.0,/api/v1/elements,Unknown,15,-1,10,True
00c37bc260c16ca7582eac4bd1ecfa47,201.0,/api/v1/elements/920a7b22-e636-41a8-9308-ecb0794e9a3e/documents,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0",9,-1,8,True
00c685d7a6d1f781a7858b4642fc6988,201.0,/api/v1/elements/07635500-11d8-4857-9186-ac4d6353c0c9/documents,Unknown,1,-1,8,True
00ccb6bcf3adfb2195a2aabbb5522249,200.0,/api/v1/references/HTTPS:%2F%2FOWDS.ORG%2FAF.t5TZ6ufzFUyc47iFKKl0_Q/elements,"Mozilla/5.0 (Linux; Android 14; SM-S911B Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.108 Mobile Safari/537.36",1,-1,0,True
00d287a81f172afbe83fdb3f31dccf29,404.0,/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",17,-1,6,True
00db5de57f0ba76352421e590c81b7f6,201.0,/api/v1/elements,Unknown,15,-1,10,True
00df683ed76c7d8cb0789760389b2a1b,204.0,/api/v1/damages,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/27.0 Chrome/125.0.0.0 Mobile Safari/537.36",1,-1,5,True
00dfab2071960c4ab2c8d8d618742a50,404.0,/api/v1/documents/e3d128cd-ad7d-440f-8614-641401d97e10,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,7,-1,7,True
00e09a8103522371d2915d7d2b356913,404.0,/api/v2/projects/69d98383-7ddf-41ae-9d6f-1699e8b22d4a/project-image,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,6,-1,9,True
00e561fa2f4c215c783cc46bc7f53f7f,404.0,/api/v2/projects/f899745d-f1b4-4439-a6fc-428ce60325f5/project-image,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,11,-1,9,True
00e68522cf133ab7657c84c2c6c5561a,200.0,/api/v1/references/HTTPS:%2F%2FOWDS.ORG%2FAF.1CNaIUo7qkulUz_Rh4KsWA/elements,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",14,-1,0,True
00eb10bfb6ef35d77747fef9858bf9ae,201.0,/api/v2/documents,Unknown,30,-1,10,True
00fae52cb47eae4d9b3f39a22202e4c8,404.0,/api/v1/documents/dc7cb028-a077-4474-a4c6-004921481562,"Mozilla/5.0 (Linux; Android 14; Pixel 6a Build/AP2A.240905.003.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.107 Mobile Safari/537.36",21,-1,7,True
01039428d62c6c6c608ee18067def441,201.0,/api/v1/elements/b23ac058-8372-4077-b338-6b01c8790396/documents,Unknown,1,-1,8,True
01096380a211042cb2a181d8efdcdda9,204.0,/api/v1/versions,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",40,-1,5,True
0109bea08a38f4b463f1d394e96d76d7,404.0,/api/v1/documents/199e812d-db57-4b79-9330-abbb4a129c48,"Mozilla/5.0 (Linux; Android 14; Pixel 6a Build/AP2A.240905.003.F1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.108 Mobile Safari/537.36",5,-1,7,True
010febcae5abb3081f80956d48d12fd8,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
0122175ca625b67e8c5a0d435e5d4f90,204.0,/api/v1/assets,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",16,-1,5,True
0128ea7bc0620c27c70f17193ca78ecb,204.0,/api/v1/nodes/,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Mobile/15E148 Safari/604.1",1,-1,5,True
012900c3bfd5d03941647f180449b8c0,401.0,/api/v1/identities,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/131.0.6778.73 Mobile/15E148 Safari/604.1",147,-1,14,True
012a90baf4ba1c496a2979204dd560e5,503.0,/api/healthz,curl/8.5.0,2025,-1,3,True
